article,topic,entity_interaction_type,network_metric,common_description,real_world_category,real_world_correlate,,
60,Network analysis,Patient centric care collaboration network,Clustering coefficient,Clustering coefficient,Network measure,Comparison of network structure,,
60,Network analysis,Patient centric care collaboration network,Number of communities,Community detection,Network measure,Comparison of network structure,,
60,Network analysis,Patient centric care collaboration network,Average shortest path,Mean shortest path length,Network measure,Comparison of network structure,,
62,Network analysis,Physician collaboration,Number of nodes,Number of nodes,Clinical resource,Number of physicians,,
62,Network analysis,Physician collaboration,Number of edges,Number of edges,Clinical collaboration,Communication/information passing between physicians,,
62,Network analysis,Physician collaboration,Clustering coefficient,Clustering coefficient,Clinical collaboration,Clustering of physicians in the network,,
62,Network analysis,Physician collaboration,Network diameter,Network diameter,Network measure,Size of the network,,
62,Network analysis,Physician collaboration,Fragmentation,Fragmentation,Network measure,Separate sub-networks,,
62,Network analysis,Physician collaboration,Mean shortest path length,Mean shortest path length,Network measure,Mean shortest path length,,
62,Network analysis,Physician collaboration,Degree centrality,Degree centrality,Clinical resource,Physician centrality in the network,,
62,Network analysis,Physician collaboration,Eigenvector centrality,Eigenvector centrality,Clinical resource,Physician centrality in the network,,
62,Network analysis,Physician collaboration,Betweenness centrality,Node betweenness centrality,Clinical resource,Physician centrality in the network,,
68,Organisational effectiveness,Physician collaboration,Degree centrality,Degree centrality,Cost of care, Patient treatment,, High degree centrality associated with lower cost and readmission rates
68,Organisational effectiveness,Physician collaboration,Network density,Density,Cost of care, Patient treatment,, High betweenness centrality associated with higher cost and readmission rates
68,Organisational effectiveness,Physician collaboration,Betweenness centrality,Node betweenness centrality,Cost of care, Patient treatment,, Greater density associated with lower cost and readmission rates
68,Organisational effectiveness,Physician collaboration,Network distance,Network diameter,Cost of care, Patient treatment,, Greater distance associated with higher cost and lower readmission rates
64,Care coordination,Patient centric care collaboration network,Degree,Degree,Patient admissions,Average patient admissions to a given hospital,,
64,Care coordination,Patient centric care collaboration network,Connectedness,Network connectedness,Clinical resource,Average physician visits per doctor for a given hospital,,
64,Care coordination,Patient centric care collaboration network,In-degree,In-degree,Clinical resource,Average doctor visits for a given hospital,,
64,Care coordination,Patient centric care collaboration network,Out-degree,Out-degree,Clinical resource,Average doctors visits to patients of other hospitals,,
64,Care coordination,Patient centric care collaboration network,Tie strength,Tie strength,Cost of care,Average cost claim proportion for patient hospital admissions,,
66,Care coordination,Physician collaboration,Average density,Average density,Clinical collaboration,Average completeness of physician collaboration networks,,
66,Care coordination,Physician collaboration,Average degree centrality,Average degree centrality,Clinical collaboration,Average centrality of value of the physician collaboration networks,,
67,Care coordination,Patient centric care collaboration network,Degree centrality,Degree centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
67,Care coordination,Patient centric care collaboration network,Tie strength,Tie strength,Cost of care,Measured as cost associated with services provided to a given patient by care provider(s),,
67,Care coordination,Patient centric care collaboration network,Connectedness,Network connectedness,Clinical resource,Frequency of physician visits to a given patient,,
73,Care coordination,Patient centric care collaboration network,Degree centrality,Degree centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
73,Care coordination,Patient centric care collaboration network,Tie strength,Tie strength,Cost of care,Measured as cost associated with services provided to a given patient by care provider(s),,
70,Care coordination,Patient centric care collaboration network,Degree centrality,Degree centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
70,Care coordination,Patient centric care collaboration network,Tie strength,Tie strength,Cost of care,Measured as cost associated with services provided to a given patient by care provider(s),,
72,NA,NA,Positional dynamicity,Positional dynamicity,Network measure,Change in network position of actors relative to the aggregated network based on network measures,,
72,NA,NA,Participation dynamicity,Participation dynamicity,Network measure,Change in presence or absence of an actors in the network,,
72,NA,NA,Complete dynamicity,Complete dynamicity,Network measure,Summation of positional and participation dynamicity,,
71,NA,NA,Rank of actors,Rank of actors,Network measure,Change in ranking of actors for a given network measure,,
71,NA,NA,Overlap of position,Overlap of position,Network measure,Change in presence in the top rank list between networks,,
71,NA,NA,Actor participation,Actor participation,Network measure,Change in presence or absence of an actors in the network,,
65,Care coordination,Patient centric care collaboration network,Community structure,Community structure,Clinical collaboration,Number of communities,,
65,Care coordination,Patient centric care collaboration network,Network density,Density,Clinical collaboration,Proportion of edges by all possible edges,,
69,Care coordination,Physician collaboration,Triad census,Triad census,Clinical collaboration,Type of triadic connections between physicians (16 types),,
69,Care coordination,Physician collaboration,Clique identification,Clique identification,Clinical collaboration,Clique formation by groups of physicians,,
74,Care coordination,Physician collaboration,Degree centrality,Degree centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
74,Care coordination,Physician collaboration,Betweenness centrality,Node betweenness centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
74,Care coordination,Physician collaboration,Closeness centrality,Closeness centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
74,Care coordination,Physician collaboration,Global clustering coefficient,Global clustering coefficient,Clinical collaboration,Groups of physicians collaborating,,
74,Care coordination,Physician collaboration,Community detection,Community detection,Clinical collaboration,Groups of physicians collaborating,,
102,Care coordination,Patient centric care collaboration network,Degree,Degree,Clinical collaboration,Groups of physicians collaborating,,
102,Care coordination,Patient centric care collaboration network,Modularity,Modularity,Clinical collaboration,Groups of physicians collaborating,,
104,Care coordination,Patient centric care collaboration network,Hierarchical clustering ,Community detection,Clinical collaboration,Care giver groups collaborating,,
105,Care coordination,Patient centric care collaboration network,Network dispersion,Network dispersion,Organisational collaboration,Proportion of patients shared between hospitals,,
107,Care coordination,Patient physician,Degree,Degree,Clinical collaboration,Number of physicians sharing patients,,
107,Care coordination,Patient physician,Normalised degree,Normalised degree,Clinical collaboration,Patient sharing adjusted for patient panel size and speciality,,
107,Care coordination,Patient physician,Clustering coefficient,Clustering coefficient,Clinical collaboration,Probability of adjacent physicians sharing patients,,
107,Care coordination,Patient physician,Eigenvector centrality,Eigenvector centrality,Clinical collaboration,Importance/centrality of a physician in the collaboration network,,
107,Care coordination,Patient physician,Referral centrality,Referral centrality,Clinical collaboration,Network structure of collaborating physicians,,
107,Care coordination,Patient physician,Normalised degree referral centrality,Normalised degree referral centrality,Clinical collaboration,Network structure of collaborating physicians,,
107,Care coordination,Patient physician,Eigenvector referral centrality,Eigenvector referral centrality,Clinical collaboration,Network structure of collaborating physicians,,
108,Collaborative practice,Patient centric care collaboration network,Degree centralisation,Degree centrality,Organisational collaboration,Provider connectedness,,
108,Collaborative practice,Patient centric care collaboration network,Closeness centralisation,Closeness centrality,Organisational collaboration,Distance between one provider and another in the network,,
108,Collaborative practice,Patient centric care collaboration network,Betweenness centralisation,Node betweenness centrality,Organisational collaboration,Provider appearance on the shortest path between two providers,,
108,Collaborative practice,Patient centric care collaboration network,Clustering coefficient,Clustering coefficient,Organisational collaboration,Grouping of providers,,
108,Collaborative practice,Patient centric care collaboration network,Graph density,Density,Organisational collaboration,Proportion of edges by all possible edges,,
109,Collaborative practice,Patient physician,Triad census,Triad census,Clinical collaboration,Physician complementarity,,
110,Care coordination,Patient referral,Degree distribution,Degree distribution,Patient treatment,Service connectedness across the network,,
110,Care coordination,Patient referral,Associativity,Associativity,Patient treatment,Connection of highly connected services to either high or low connected services,,
110,Care coordination,Patient referral,Density,Density,Patient treatment,Proportion of edges by all possible edges,,
110,Care coordination,Patient referral,Clustering coefficient,Clustering coefficient,Patient treatment,Grouping of providers,,
110,Care coordination,Patient referral,Degree,Degree,Patient treatment,Connectivity of services,,
110,Care coordination,Patient referral,Weighted degree,Weighted degree,Patient treatment,Weighted connectivity of services,,
110,Care coordination,Patient referral,Betweenness centrality,Node betweenness centrality,Patient treatment,Importance of a service,,
112,Collaborative practice,Patient centric care collaboration network,Degree,Degree,Clinical collaboration,Importance of a caregiver,,
112,Collaborative practice,Patient centric care collaboration network,Number of nodes,Number of nodes in subnetwork,Network measure,Size of the network,,
112,Collaborative practice,Patient centric care collaboration network,Average degree centrality,Average degree centrality,Patient treatment,Association with LoS and risk of death,,
112,Collaborative practice,Patient centric care collaboration network,Average betweenness centrality,Average betweenness centrality,Patient treatment,Association with LoS and risk of death,,
112,Collaborative practice,Patient centric care collaboration network,Average clustering coefficient,Average clustering coefficient,Patient treatment,Association with LoS and risk of death,,
112,Collaborative practice,Patient centric care collaboration network,Modularity,Modularity,Patient treatment,Association with LoS and risk of death,,
112,Collaborative practice,Patient centric care collaboration network,Average node experience,Node experience,Patient treatment,Association with LoS and risk of death,,
114,Care coordination,Patient transfer,Degree centrality,Degree centrality,Patient flow,Care unit activity,,
114,Care coordination,Patient transfer,Weighted degree centrality,Weighted degree centrality,Patient flow,Care duration,,
114,Care coordination,Patient transfer,Path length,Path length,Patient flow,Sequence of patient care events,,
